Time,NodeID,AgeYears,IndividualProp=StudyGroups,HasClinicalSymptoms,NumIndividuals,NumInfected,AvgInfectiousness,AvgParasiteDensity,AvgGametocyteDensity,AvgVariantFractionPfEMP1Major,AvgNumInfections,AvgInfectionClearedDuration,NumInfectionsCleared,NumHasFever
0,3,10, arm2, F,0,0,0,0,0,0,0,0,0,0
0,3,10, arm2, T,0,0,0,0,0,0,0,0,0,0
0,3,10, arm3, F,3026,0,0,0,0,0,0,0,0,0
0,3,10, arm3, T,0,0,0,0,0,0,0,0,0,0
0,3,10, not_selected, F,6971,0,0,0,0,0,0,0,0,0
0,3,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
0,3,100, arm1, F,0,0,0,0,0,0,0,0,0,0
0,3,100, arm1, T,0,0,0,0,0,0,0,0,0,0
0,3,100, arm2, F,0,0,0,0,0,0,0,0,0,0
0,3,100, arm2, T,0,0,0,0,0,0,0,0,0,0
0,3,100, arm3, F,3083,0,0,0,0,0,0,0,0,0
0,3,100, arm3, T,0,0,0,0,0,0,0,0,0,0
0,3,100, not_selected, F,6920,0,0,0,0,0,0,0,0,0
0,3,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
0,4,0, arm1, F,0,0,0,0,0,0,0,0,0,0
0,4,0, arm1, T,0,0,0,0,0,0,0,0,0,0
0,4,0, arm2, F,0,0,0,0,0,0,0,0,0,0
0,4,0, arm2, T,0,0,0,0,0,0,0,0,0,0
0,4,0, arm3, F,0,0,0,0,0,0,0,0,0,0
0,4,0, arm3, T,0,0,0,0,0,0,0,0,0,0
0,4,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
0,4,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
0,4,2, arm1, F,0,0,0,0,0,0,0,0,0,0
0,4,2, arm1, T,0,0,0,0,0,0,0,0,0,0
0,4,2, arm2, F,0,0,0,0,0,0,0,0,0,0
0,4,2, arm2, T,0,0,0,0,0,0,0,0,0,0
0,4,2, arm3, F,0,0,0,0,0,0,0,0,0,0
0,4,2, arm3, T,0,0,0,0,0,0,0,0,0,0
0,4,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
0,4,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
0,4,10, arm1, F,0,0,0,0,0,0,0,0,0,0
0,4,10, arm1, T,0,0,0,0,0,0,0,0,0,0
0,4,10, arm2, F,0,0,0,0,0,0,0,0,0,0
0,4,10, arm2, T,0,0,0,0,0,0,0,0,0,0
0,4,10, arm3, F,0,0,0,0,0,0,0,0,0,0
0,4,10, arm3, T,0,0,0,0,0,0,0,0,0,0
0,4,10, not_selected, F,10123,0,0,0,0,0,0,0,0,0
0,4,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
0,4,100, arm1, F,0,0,0,0,0,0,0,0,0,0
0,4,100, arm1, T,0,0,0,0,0,0,0,0,0,0
0,4,100, arm2, F,0,0,0,0,0,0,0,0,0,0
0,4,100, arm2, T,0,0,0,0,0,0,0,0,0,0
0,4,100, arm3, F,0,0,0,0,0,0,0,0,0,0
0,4,100, arm3, T,0,0,0,0,0,0,0,0,0,0
0,4,100, not_selected, F,9877,0,0,0,0,0,0,0,0,0
0,4,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,1,0, arm1, F,0,0,0,0,0,0,0,0,0,0
1,1,0, arm1, T,0,0,0,0,0,0,0,0,0,0
1,1,0, arm2, F,0,0,0,0,0,0,0,0,0,0
1,1,0, arm2, T,0,0,0,0,0,0,0,0,0,0
1,1,0, arm3, F,0,0,0,0,0,0,0,0,0,0
1,1,0, arm3, T,0,0,0,0,0,0,0,0,0,0
1,1,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,1,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,1,2, arm1, F,0,0,0,0,0,0,0,0,0,0
1,1,2, arm1, T,0,0,0,0,0,0,0,0,0,0
1,1,2, arm2, F,0,0,0,0,0,0,0,0,0,0
1,1,2, arm2, T,0,0,0,0,0,0,0,0,0,0
1,1,2, arm3, F,0,0,0,0,0,0,0,0,0,0
1,1,2, arm3, T,0,0,0,0,0,0,0,0,0,0
1,1,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,1,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,1,10, arm1, F,1060,0,0,0,0,0,0,0,0,0
1,1,10, arm1, T,0,0,0,0,0,0,0,0,0,0
1,1,10, arm2, F,0,0,0,0,0,0,0,0,0,0
1,1,10, arm2, T,0,0,0,0,0,0,0,0,0,0
1,1,10, arm3, F,0,0,0,0,0,0,0,0,0,0
1,1,10, arm3, T,0,0,0,0,0,0,0,0,0,0
1,1,10, not_selected, F,9116,0,0,0,0,0,0,0,0,0
1,1,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,1,100, arm1, F,993,0,0,0,0,0,0,0,0,0
1,1,100, arm1, T,0,0,0,0,0,0,0,0,0,0
1,1,100, arm2, F,0,0,0,0,0,0,0,0,0,0
1,1,100, arm2, T,0,0,0,0,0,0,0,0,0,0
1,1,100, arm3, F,0,0,0,0,0,0,0,0,0,0
1,1,100, arm3, T,0,0,0,0,0,0,0,0,0,0
1,1,100, not_selected, F,8831,0,0,0,0,0,0,0,0,0
1,1,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,2,0, arm1, F,0,0,0,0,0,0,0,0,0,0
1,2,0, arm1, T,0,0,0,0,0,0,0,0,0,0
1,2,0, arm2, F,0,0,0,0,0,0,0,0,0,0
1,2,0, arm2, T,0,0,0,0,0,0,0,0,0,0
1,2,0, arm3, F,0,0,0,0,0,0,0,0,0,0
1,2,0, arm3, T,0,0,0,0,0,0,0,0,0,0
1,2,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,2,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,2,2, arm1, F,0,0,0,0,0,0,0,0,0,0
1,2,2, arm1, T,0,0,0,0,0,0,0,0,0,0
1,2,2, arm2, F,0,0,0,0,0,0,0,0,0,0
1,2,2, arm2, T,0,0,0,0,0,0,0,0,0,0
1,2,2, arm3, F,0,0,0,0,0,0,0,0,0,0
1,2,2, arm3, T,0,0,0,0,0,0,0,0,0,0
1,2,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,2,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,2,10, arm1, F,0,0,0,0,0,0,0,0,0,0
1,2,10, arm1, T,0,0,0,0,0,0,0,0,0,0
1,2,10, arm2, F,1968,0,0,0,0,0,0,0,0,0
1,2,10, arm2, T,0,0,0,0,0,0,0,0,0,0
1,2,10, arm3, F,0,0,0,0,0,0,0,0,0,0
1,2,10, arm3, T,0,0,0,0,0,0,0,0,0,0
1,2,10, not_selected, F,8052,0,0,0,0,0,0,0,0,0
1,2,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,2,100, arm1, F,0,0,0,0,0,0,0,0,0,0
1,2,100, arm1, T,0,0,0,0,0,0,0,0,0,0
1,2,100, arm2, F,2004,0,0,0,0,0,0,0,0,0
1,2,100, arm2, T,0,0,0,0,0,0,0,0,0,0
1,2,100, arm3, F,0,0,0,0,0,0,0,0,0,0
1,2,100, arm3, T,0,0,0,0,0,0,0,0,0,0
1,2,100, not_selected, F,7976,0,0,0,0,0,0,0,0,0
1,2,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,3,0, arm1, F,0,0,0,0,0,0,0,0,0,0
1,3,0, arm1, T,0,0,0,0,0,0,0,0,0,0
1,3,0, arm2, F,0,0,0,0,0,0,0,0,0,0
1,3,0, arm2, T,0,0,0,0,0,0,0,0,0,0
1,3,0, arm3, F,0,0,0,0,0,0,0,0,0,0
1,3,0, arm3, T,0,0,0,0,0,0,0,0,0,0
1,3,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,3,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,3,2, arm1, F,0,0,0,0,0,0,0,0,0,0
1,3,2, arm1, T,0,0,0,0,0,0,0,0,0,0
1,3,2, arm2, F,0,0,0,0,0,0,0,0,0,0
1,3,2, arm2, T,0,0,0,0,0,0,0,0,0,0
1,3,2, arm3, F,0,0,0,0,0,0,0,0,0,0
1,3,2, arm3, T,0,0,0,0,0,0,0,0,0,0
1,3,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,3,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,3,10, arm1, F,0,0,0,0,0,0,0,0,0,0
1,3,10, arm1, T,0,0,0,0,0,0,0,0,0,0
1,3,10, arm2, F,0,0,0,0,0,0,0,0,0,0
1,3,10, arm2, T,0,0,0,0,0,0,0,0,0,0
1,3,10, arm3, F,3026,0,0,0,0,0,0,0,0,0
1,3,10, arm3, T,0,0,0,0,0,0,0,0,0,0
1,3,10, not_selected, F,6971,0,0,0,0,0,0,0,0,0
1,3,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,3,100, arm1, F,0,0,0,0,0,0,0,0,0,0
1,3,100, arm1, T,0,0,0,0,0,0,0,0,0,0
1,3,100, arm2, F,0,0,0,0,0,0,0,0,0,0
1,3,100, arm2, T,0,0,0,0,0,0,0,0,0,0
1,3,100, arm3, F,3083,0,0,0,0,0,0,0,0,0
1,3,100, arm3, T,0,0,0,0,0,0,0,0,0,0
1,3,100, not_selected, F,6920,0,0,0,0,0,0,0,0,0
1,3,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,4,0, arm1, F,0,0,0,0,0,0,0,0,0,0
1,4,0, arm1, T,0,0,0,0,0,0,0,0,0,0
1,4,0, arm2, F,0,0,0,0,0,0,0,0,0,0
1,4,0, arm2, T,0,0,0,0,0,0,0,0,0,0
1,4,0, arm3, F,0,0,0,0,0,0,0,0,0,0
1,4,0, arm3, T,0,0,0,0,0,0,0,0,0,0
1,4,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,4,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,4,2, arm1, F,0,0,0,0,0,0,0,0,0,0
1,4,2, arm1, T,0,0,0,0,0,0,0,0,0,0
1,4,2, arm2, F,0,0,0,0,0,0,0,0,0,0
1,4,2, arm2, T,0,0,0,0,0,0,0,0,0,0
1,4,2, arm3, F,0,0,0,0,0,0,0,0,0,0
1,4,2, arm3, T,0,0,0,0,0,0,0,0,0,0
1,4,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
1,4,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,4,10, arm1, F,0,0,0,0,0,0,0,0,0,0
1,4,10, arm1, T,0,0,0,0,0,0,0,0,0,0
1,4,10, arm2, F,0,0,0,0,0,0,0,0,0,0
1,4,10, arm2, T,0,0,0,0,0,0,0,0,0,0
1,4,10, arm3, F,0,0,0,0,0,0,0,0,0,0
1,4,10, arm3, T,0,0,0,0,0,0,0,0,0,0
1,4,10, not_selected, F,10123,0,0,0,0,0,0,0,0,0
1,4,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
1,4,100, arm1, F,0,0,0,0,0,0,0,0,0,0
1,4,100, arm1, T,0,0,0,0,0,0,0,0,0,0
1,4,100, arm2, F,0,0,0,0,0,0,0,0,0,0
1,4,100, arm2, T,0,0,0,0,0,0,0,0,0,0
1,4,100, arm3, F,0,0,0,0,0,0,0,0,0,0
1,4,100, arm3, T,0,0,0,0,0,0,0,0,0,0
1,4,100, not_selected, F,9877,0,0,0,0,0,0,0,0,0
1,4,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,1,0, arm1, F,0,0,0,0,0,0,0,0,0,0
2,1,0, arm1, T,0,0,0,0,0,0,0,0,0,0
2,1,0, arm2, F,0,0,0,0,0,0,0,0,0,0
2,1,0, arm2, T,0,0,0,0,0,0,0,0,0,0
2,1,0, arm3, F,0,0,0,0,0,0,0,0,0,0
2,1,0, arm3, T,0,0,0,0,0,0,0,0,0,0
2,1,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,1,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,1,2, arm1, F,0,0,0,0,0,0,0,0,0,0
2,1,2, arm1, T,0,0,0,0,0,0,0,0,0,0
2,1,2, arm2, F,0,0,0,0,0,0,0,0,0,0
2,1,2, arm2, T,0,0,0,0,0,0,0,0,0,0
2,1,2, arm3, F,0,0,0,0,0,0,0,0,0,0
2,1,2, arm3, T,0,0,0,0,0,0,0,0,0,0
2,1,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,1,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,1,10, arm1, F,1060,0,0,0,0,0,0,0,0,0
2,1,10, arm1, T,0,0,0,0,0,0,0,0,0,0
2,1,10, arm2, F,0,0,0,0,0,0,0,0,0,0
2,1,10, arm2, T,0,0,0,0,0,0,0,0,0,0
2,1,10, arm3, F,0,0,0,0,0,0,0,0,0,0
2,1,10, arm3, T,0,0,0,0,0,0,0,0,0,0
2,1,10, not_selected, F,9116,0,0,0,0,0,0,0,0,0
2,1,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,1,100, arm1, F,993,0,0,0,0,0,0,0,0,0
2,1,100, arm1, T,0,0,0,0,0,0,0,0,0,0
2,1,100, arm2, F,0,0,0,0,0,0,0,0,0,0
2,1,100, arm2, T,0,0,0,0,0,0,0,0,0,0
2,1,100, arm3, F,0,0,0,0,0,0,0,0,0,0
2,1,100, arm3, T,0,0,0,0,0,0,0,0,0,0
2,1,100, not_selected, F,8831,0,0,0,0,0,0,0,0,0
2,1,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,2,0, arm1, F,0,0,0,0,0,0,0,0,0,0
2,2,0, arm1, T,0,0,0,0,0,0,0,0,0,0
2,2,0, arm2, F,0,0,0,0,0,0,0,0,0,0
2,2,0, arm2, T,0,0,0,0,0,0,0,0,0,0
2,2,0, arm3, F,0,0,0,0,0,0,0,0,0,0
2,2,0, arm3, T,0,0,0,0,0,0,0,0,0,0
2,2,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,2,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,2,2, arm1, F,0,0,0,0,0,0,0,0,0,0
2,2,2, arm1, T,0,0,0,0,0,0,0,0,0,0
2,2,2, arm2, F,0,0,0,0,0,0,0,0,0,0
2,2,2, arm2, T,0,0,0,0,0,0,0,0,0,0
2,2,2, arm3, F,0,0,0,0,0,0,0,0,0,0
2,2,2, arm3, T,0,0,0,0,0,0,0,0,0,0
2,2,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,2,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,2,10, arm1, F,0,0,0,0,0,0,0,0,0,0
2,2,10, arm1, T,0,0,0,0,0,0,0,0,0,0
2,2,10, arm2, F,1968,0,0,0,0,0,0,0,0,0
2,2,10, arm2, T,0,0,0,0,0,0,0,0,0,0
2,2,10, arm3, F,0,0,0,0,0,0,0,0,0,0
2,2,10, arm3, T,0,0,0,0,0,0,0,0,0,0
2,2,10, not_selected, F,8052,0,0,0,0,0,0,0,0,0
2,2,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,2,100, arm1, F,0,0,0,0,0,0,0,0,0,0
2,2,100, arm1, T,0,0,0,0,0,0,0,0,0,0
2,2,100, arm2, F,2004,0,0,0,0,0,0,0,0,0
2,2,100, arm2, T,0,0,0,0,0,0,0,0,0,0
2,2,100, arm3, F,0,0,0,0,0,0,0,0,0,0
2,2,100, arm3, T,0,0,0,0,0,0,0,0,0,0
2,2,100, not_selected, F,7976,0,0,0,0,0,0,0,0,0
2,2,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,3,0, arm1, F,0,0,0,0,0,0,0,0,0,0
2,3,0, arm1, T,0,0,0,0,0,0,0,0,0,0
2,3,0, arm2, F,0,0,0,0,0,0,0,0,0,0
2,3,0, arm2, T,0,0,0,0,0,0,0,0,0,0
2,3,0, arm3, F,0,0,0,0,0,0,0,0,0,0
2,3,0, arm3, T,0,0,0,0,0,0,0,0,0,0
2,3,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,3,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,3,2, arm1, F,0,0,0,0,0,0,0,0,0,0
2,3,2, arm1, T,0,0,0,0,0,0,0,0,0,0
2,3,2, arm2, F,0,0,0,0,0,0,0,0,0,0
2,3,2, arm2, T,0,0,0,0,0,0,0,0,0,0
2,3,2, arm3, F,0,0,0,0,0,0,0,0,0,0
2,3,2, arm3, T,0,0,0,0,0,0,0,0,0,0
2,3,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,3,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,3,10, arm1, F,0,0,0,0,0,0,0,0,0,0
2,3,10, arm1, T,0,0,0,0,0,0,0,0,0,0
2,3,10, arm2, F,0,0,0,0,0,0,0,0,0,0
2,3,10, arm2, T,0,0,0,0,0,0,0,0,0,0
2,3,10, arm3, F,3026,0,0,0,0,0,0,0,0,0
2,3,10, arm3, T,0,0,0,0,0,0,0,0,0,0
2,3,10, not_selected, F,6971,0,0,0,0,0,0,0,0,0
2,3,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,3,100, arm1, F,0,0,0,0,0,0,0,0,0,0
2,3,100, arm1, T,0,0,0,0,0,0,0,0,0,0
2,3,100, arm2, F,0,0,0,0,0,0,0,0,0,0
2,3,100, arm2, T,0,0,0,0,0,0,0,0,0,0
2,3,100, arm3, F,3083,0,0,0,0,0,0,0,0,0
2,3,100, arm3, T,0,0,0,0,0,0,0,0,0,0
2,3,100, not_selected, F,6920,0,0,0,0,0,0,0,0,0
2,3,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,4,0, arm1, F,0,0,0,0,0,0,0,0,0,0
2,4,0, arm1, T,0,0,0,0,0,0,0,0,0,0
2,4,0, arm2, F,0,0,0,0,0,0,0,0,0,0
2,4,0, arm2, T,0,0,0,0,0,0,0,0,0,0
2,4,0, arm3, F,0,0,0,0,0,0,0,0,0,0
2,4,0, arm3, T,0,0,0,0,0,0,0,0,0,0
2,4,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,4,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,4,2, arm1, F,0,0,0,0,0,0,0,0,0,0
2,4,2, arm1, T,0,0,0,0,0,0,0,0,0,0
2,4,2, arm2, F,0,0,0,0,0,0,0,0,0,0
2,4,2, arm2, T,0,0,0,0,0,0,0,0,0,0
2,4,2, arm3, F,0,0,0,0,0,0,0,0,0,0
2,4,2, arm3, T,0,0,0,0,0,0,0,0,0,0
2,4,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
2,4,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,4,10, arm1, F,0,0,0,0,0,0,0,0,0,0
2,4,10, arm1, T,0,0,0,0,0,0,0,0,0,0
2,4,10, arm2, F,0,0,0,0,0,0,0,0,0,0
2,4,10, arm2, T,0,0,0,0,0,0,0,0,0,0
2,4,10, arm3, F,0,0,0,0,0,0,0,0,0,0
2,4,10, arm3, T,0,0,0,0,0,0,0,0,0,0
2,4,10, not_selected, F,10123,0,0,0,0,0,0,0,0,0
2,4,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
2,4,100, arm1, F,0,0,0,0,0,0,0,0,0,0
2,4,100, arm1, T,0,0,0,0,0,0,0,0,0,0
2,4,100, arm2, F,0,0,0,0,0,0,0,0,0,0
2,4,100, arm2, T,0,0,0,0,0,0,0,0,0,0
2,4,100, arm3, F,0,0,0,0,0,0,0,0,0,0
2,4,100, arm3, T,0,0,0,0,0,0,0,0,0,0
2,4,100, not_selected, F,9877,0,0,0,0,0,0,0,0,0
2,4,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
3,1,0, arm1, F,0,0,0,0,0,0,0,0,0,0
3,1,0, arm1, T,0,0,0,0,0,0,0,0,0,0
3,1,0, arm2, F,0,0,0,0,0,0,0,0,0,0
3,1,0, arm2, T,0,0,0,0,0,0,0,0,0,0
3,1,0, arm3, F,0,0,0,0,0,0,0,0,0,0
3,1,0, arm3, T,0,0,0,0,0,0,0,0,0,0
3,1,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
3,1,0, not_selected, T,0,0,0,0,0,0,0,0,0,0
3,1,2, arm1, F,0,0,0,0,0,0,0,0,0,0
3,1,2, arm1, T,0,0,0,0,0,0,0,0,0,0
3,1,2, arm2, F,0,0,0,0,0,0,0,0,0,0
3,1,2, arm2, T,0,0,0,0,0,0,0,0,0,0
3,1,2, arm3, F,0,0,0,0,0,0,0,0,0,0
3,1,2, arm3, T,0,0,0,0,0,0,0,0,0,0
3,1,2, not_selected, F,0,0,0,0,0,0,0,0,0,0
3,1,2, not_selected, T,0,0,0,0,0,0,0,0,0,0
3,1,10, arm1, F,1060,0,0,0,0,0,0,0,0,0
3,1,10, arm1, T,0,0,0,0,0,0,0,0,0,0
3,1,10, arm2, F,0,0,0,0,0,0,0,0,0,0
3,1,10, arm2, T,0,0,0,0,0,0,0,0,0,0
3,1,10, arm3, F,0,0,0,0,0,0,0,0,0,0
3,1,10, arm3, T,0,0,0,0,0,0,0,0,0,0
3,1,10, not_selected, F,9116,0,0,0,0,0,0,0,0,0
3,1,10, not_selected, T,0,0,0,0,0,0,0,0,0,0
3,1,100, arm1, F,993,0,0,0,0,0,0,0,0,0
3,1,100, arm1, T,0,0,0,0,0,0,0,0,0,0
3,1,100, arm2, F,0,0,0,0,0,0,0,0,0,0
3,1,100, arm2, T,0,0,0,0,0,0,0,0,0,0
3,1,100, arm3, F,0,0,0,0,0,0,0,0,0,0
3,1,100, arm3, T,0,0,0,0,0,0,0,0,0,0
3,1,100, not_selected, F,8831,0,0,0,0,0,0,0,0,0
3,1,100, not_selected, T,0,0,0,0,0,0,0,0,0,0
3,2,0, arm1, F,0,0,0,0,0,0,0,0,0,0
3,2,0, arm1, T,0,0,0,0,0,0,0,0,0,0
3,2,0, arm2, F,0,0,0,0,0,0,0,0,0,0
3,2,0, arm2, T,0,0,0,0,0,0,0,0,0,0
3,2,0, arm3, F,0,0,0,0,0,0,0,0,0,0
3,2,0, arm3, T,0,0,0,0,0,0,0,0,0,0
3,2,0, not_selected, F,0,0,0,0,0,0,0,0,0,0
