Year, NodeId, Gender, IsCircumcised, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative
1962.47,1,0,0,0,33,5,3,0,3,1,0,0,0,0,0
1962.47,1,0,0,1,31,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,2,11,5,0,0,1,1,0,0,0,0,0
1962.47,1,0,0,3,11,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,4,8,2,0,0,1,0,0,0,0,0,0
1962.47,1,0,0,5,9,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,6,7,1,1,0,0,0,0,0,0,0,0
1962.47,1,0,0,7,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,8,3,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,9,8,5,1,0,0,0,0,0,0,0,0
1962.47,1,0,0,10,12,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,11,10,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,12,6,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,13,7,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,14,6,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,15,10,6,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,16,7,2,0,0,1,1,0,0,0,0,0
1962.47,1,0,0,17,14,6,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,18,6,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,19,5,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,20,4,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,21,9,5,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,22,6,4,0,0,1,1,0,0,0,0,0
1962.47,1,0,0,23,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,24,9,5,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,25,5,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,26,6,5,1,0,0,0,0,0,0,0,0
1962.47,1,0,0,27,8,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,28,4,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,29,8,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,30,4,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,31,5,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,32,3,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,33,3,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,34,4,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,35,6,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,36,8,7,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,37,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,38,4,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,39,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,40,4,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,41,4,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,42,9,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,43,5,3,1,0,0,0,0,0,0,0,0
1962.47,1,0,0,44,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,45,4,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,46,6,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,47,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,48,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,49,2,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,50,5,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,51,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,52,2,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,53,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,54,6,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,55,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,56,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,57,5,2,0,0,1,0,0,0,0,0,0
1962.47,1,0,0,58,2,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,59,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,61,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,62,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,63,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,64,2,1,0,0,1,1,0,0,0,0,0
1962.47,1,0,0,65,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,66,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,67,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,68,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,69,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,70,3,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,71,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,73,2,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,74,3,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,75,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,76,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,81,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,84,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,89,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,91,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,93,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,95,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,97,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,98,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,2,11,5,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,3,11,1,0,0,1,1,0,0,0,0,0
1962.47,1,0,1,4,14,8,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,5,12,8,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,6,8,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,7,8,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,8,8,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,9,9,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,10,5,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,11,12,5,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,12,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,13,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,14,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,15,6,2,0,0,1,1,0,0,0,0,0
1962.47,1,0,1,16,5,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,17,9,5,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,18,10,6,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,19,7,6,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,20,9,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,21,19,15,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,22,6,3,0,0,2,2,0,0,0,0,0
1962.47,1,0,1,23,11,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,24,7,5,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,25,10,6,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,26,8,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,27,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,28,8,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,29,9,5,1,0,0,0,0,0,0,0,0
1962.47,1,0,1,30,5,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,31,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,32,7,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,33,6,5,0,0,2,1,0,0,0,0,0
1962.47,1,0,1,34,7,6,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,35,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,36,6,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,37,4,4,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,38,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,39,8,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,40,5,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,41,5,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,42,6,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,43,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,44,7,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,45,9,6,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,46,4,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,47,4,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,48,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,50,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,51,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,52,2,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,53,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,54,4,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,55,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,56,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,57,2,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,58,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,59,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,60,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,61,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,62,4,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,63,3,2,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,64,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,65,4,2,0,0,1,0,0,0,0,0,0
1962.47,1,0,1,66,2,0,0,0,1,1,0,0,0,0,0
1962.47,1,0,1,67,2,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,68,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,69,3,3,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,70,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,71,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,72,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,73,0,0,0,0,1,0,0,0,0,0,0
1962.47,1,0,1,74,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,75,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,76,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,77,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,78,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,79,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,80,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,81,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,82,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,83,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,84,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,85,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,86,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,87,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,88,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,89,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,91,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,92,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,93,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,94,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,95,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,96,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,97,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,98,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,1,99,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,0,27,3,2,0,3,1,0,0,0,0,0
1962.47,1,1,0,1,39,4,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,2,21,6,1,0,3,2,0,0,0,0,0
1962.47,1,1,0,3,19,8,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,4,20,6,1,0,3,3,0,0,0,0,0
1962.47,1,1,0,5,25,7,2,0,3,3,0,0,0,0,0
1962.47,1,1,0,6,17,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,7,21,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,8,20,6,0,0,1,1,0,0,0,0,0
1962.47,1,1,0,9,13,1,0,0,2,2,0,0,0,0,0
1962.47,1,1,0,10,10,4,0,0,2,2,0,0,0,0,0
1962.47,1,1,0,11,17,8,1,0,1,1,0,0,0,0,0
1962.47,1,1,0,12,12,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,13,19,7,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,14,13,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,15,23,7,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,16,10,2,1,0,1,1,0,0,0,0,0
1962.47,1,1,0,17,15,6,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,18,18,10,1,0,0,0,0,0,0,0,0
1962.47,1,1,0,19,21,13,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,20,18,8,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,21,11,6,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,22,15,7,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,23,19,12,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,24,22,15,1,0,0,0,0,0,0,0,0
1962.47,1,1,0,25,18,9,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,26,12,8,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,27,14,8,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,28,12,10,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,29,17,9,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,30,7,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,31,15,12,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,32,12,9,1,0,0,0,0,0,0,0,0
1962.47,1,1,0,33,11,6,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,34,11,6,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,35,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,36,10,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,37,8,3,0,0,2,1,0,0,0,0,0
1962.47,1,1,0,38,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,39,13,9,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,40,6,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,41,8,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,42,6,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,43,11,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,44,8,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,45,10,6,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,46,8,4,0,0,1,1,0,0,0,0,0
1962.47,1,1,0,47,8,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,48,8,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,49,13,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,50,9,6,0,0,1,1,0,0,0,0,0
1962.47,1,1,0,51,4,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,52,7,6,0,0,1,0,0,0,0,0,0
1962.47,1,1,0,53,9,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,54,4,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,55,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,56,8,4,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,57,2,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,58,7,6,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,59,6,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,60,2,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,61,5,5,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,62,2,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,63,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,64,6,4,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,65,4,3,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,66,5,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,67,2,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,68,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,69,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,70,2,2,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,71,4,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,72,2,2,1,0,0,0,0,0,0,0,0
1962.47,1,1,0,73,2,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,74,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,75,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,76,3,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,77,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,78,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,79,1,1,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,80,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,81,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,82,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,83,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,84,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,85,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,86,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,87,1,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,88,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,89,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,90,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,91,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,92,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,93,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,94,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,95,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,96,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,97,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,98,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,0,99,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,0,32,3,1,0,3,1,0,0,0,0,0
1962.97,1,0,0,1,27,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,2,22,3,0,0,1,1,0,0,0,0,0
1962.97,1,0,0,3,15,5,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,4,7,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,5,6,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,6,11,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,7,6,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,8,4,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,9,5,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,10,7,4,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,11,13,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,12,8,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,13,6,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,14,8,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,15,7,2,0,0,1,1,0,0,0,0,0
1962.97,1,0,0,16,10,5,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,17,11,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,18,8,5,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,19,5,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,20,4,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,21,10,8,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,22,5,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,23,3,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,24,7,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,25,7,6,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,26,5,4,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,27,7,5,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,28,5,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,29,3,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,30,8,4,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,31,6,4,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,32,4,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,33,2,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,34,6,6,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,35,6,4,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,36,1,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,37,9,6,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,38,2,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,39,4,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,40,4,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,41,2,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,42,6,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,43,9,4,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,44,3,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,45,3,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,46,5,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,47,4,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,48,3,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,50,5,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,51,2,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,52,1,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,53,3,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,54,3,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,55,3,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,56,1,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,57,5,3,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,58,2,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,59,3,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,61,1,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,63,2,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,64,0,0,0,0,1,0,0,0,0,0,0
1962.97,1,0,0,65,3,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,66,3,1,1,0,0,0,0,0,0,0,0
1962.97,1,0,0,67,2,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,68,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,69,1,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,70,3,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,71,2,2,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,73,1,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,74,2,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,75,2,1,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,76,1,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,81,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,84,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,89,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,91,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,93,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,95,0,0,0,0,0,0,0,0,0,0,0
