Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,2241,0,0,2241,0,0,74275
0,340461476,X-a0:X-a1,2272,0,0,2272,0,0,74975
0,340461476,X-a1:X-a0,2223,0,0,2223,0,0,76675
0,340461476,X-a1:X-a1,2257,0,0,2257,0,0,76975
1,340461476,X-a0:X-a0,2025,0,0,2025,0,22810,69675
1,340461476,X-a0:X-a1,2096,0,0,2096,0,23235,68325
1,340461476,X-a1:X-a0,2010,0,0,2010,0,23811,67875
1,340461476,X-a1:X-a1,2023,0,0,2023,0,23705,67025
2,340461476,X-a0:X-a0,1816,0,0,1816,0,30422,61775
2,340461476,X-a0:X-a1,1893,0,0,1893,0,30623,62675
2,340461476,X-a1:X-a0,1812,0,0,1812,0,30898,61025
2,340461476,X-a1:X-a1,1835,0,0,1835,0,30864,62625
3,340461476,X-a0:X-a0,1627,0,0,1627,0,38456,55300
3,340461476,X-a0:X-a1,1722,0,0,1722,0,38516,55600
3,340461476,X-a1:X-a0,1620,0,0,1620,0,38718,58650
3,340461476,X-a1:X-a1,1659,0,0,1659,0,38715,56550
4,340461476,X-a0:X-a0,1492,0,0,1492,0,45173,50650
4,340461476,X-a0:X-a1,1559,0,0,1559,0,45115,49600
4,340461476,X-a1:X-a0,1455,0,0,1455,0,46143,48950
4,340461476,X-a1:X-a1,1503,0,0,1503,0,45696,49400
5,340461476,X-a0:X-a0,1357,0,0,1357,0,51370,44300
5,340461476,X-a0:X-a1,1415,0,0,1415,0,51057,46000
5,340461476,X-a1:X-a0,1305,0,0,1305,0,51759,44500
5,340461476,X-a1:X-a1,1348,0,0,1348,0,51503,46100
6,340461476,X-a0:X-a0,1210,0,0,1210,0,56571,41875
6,340461476,X-a0:X-a1,1288,0,0,1288,0,56456,42675
6,340461476,X-a1:X-a0,1164,0,0,1164,0,56881,42925
6,340461476,X-a1:X-a1,1224,0,0,1224,0,56852,41825
7,340461476,X-a0:X-a0,1099,0,0,1099,0,61307,36875
7,340461476,X-a0:X-a1,1177,0,0,1177,0,60997,36475
7,340461476,X-a1:X-a0,1052,0,0,1052,0,61474,35625
7,340461476,X-a1:X-a1,1092,0,0,1092,0,61162,37325
8,340461476,X-a0:X-a0,1002,0,0,1002,0,65661,34200
8,340461476,X-a0:X-a1,1070,0,0,1070,0,65201,34100
8,340461476,X-a1:X-a0,951,0,0,951,0,65433,31800
8,340461476,X-a1:X-a1,985,0,0,985,0,65491,34000
9,340461476,X-a0:X-a0,889,0,0,889,0,69744,30050
9,340461476,X-a0:X-a1,976,0,0,976,0,68871,30150
9,340461476,X-a1:X-a0,861,0,0,861,0,68597,31900
9,340461476,X-a1:X-a1,901,0,0,901,0,69409,31100
10,340461476,X-a0:X-a0,805,0,0,805,0,72617,28250
10,340461476,X-a0:X-a1,885,0,0,885,0,71657,27300
10,340461476,X-a1:X-a0,783,0,0,783,0,72268,26950
10,340461476,X-a1:X-a1,811,0,0,811,0,72648,28300
11,340461476,X-a0:X-a0,733,0,0,733,0,75514,25300
11,340461476,X-a0:X-a1,792,0,0,792,0,74349,25950
11,340461476,X-a1:X-a0,708,0,0,708,0,74825,23050
11,340461476,X-a1:X-a1,726,0,0,726,0,75708,25000
12,340461476,X-a0:X-a0,662,0,0,662,7703,70691,22250
12,340461476,X-a0:X-a1,715,0,0,715,7721,69748,21700
12,340461476,X-a1:X-a0,626,0,0,626,7956,68595,23700
12,340461476,X-a1:X-a1,660,0,0,660,7881,70420,23250
13,340461476,X-a0:X-a0,612,0,0,612,10327,77662,19875
13,340461476,X-a0:X-a1,637,0,0,637,10192,76659,19825
13,340461476,X-a1:X-a0,565,0,0,565,10348,76974,18875
13,340461476,X-a1:X-a1,591,0,0,591,10358,78432,20425
14,340461476,X-a0:X-a0,562,0,0,562,12984,78829,18800
14,340461476,X-a0:X-a1,565,0,0,565,12845,77710,19550
14,340461476,X-a1:X-a0,506,0,0,506,12954,77574,17000
14,340461476,X-a1:X-a1,549,0,0,549,12938,79730,18450
15,340461476,X-a0:X-a0,498,0,0,498,15314,80958,17075
15,340461476,X-a0:X-a1,515,0,0,515,14992,80512,16175
15,340461476,X-a1:X-a0,451,0,0,451,15352,78294,17225
15,340461476,X-a1:X-a1,496,0,0,496,15236,81371,17125
16,340461476,X-a0:X-a0,5696,0,0,5696,12130,82435,14650
16,340461476,X-a0:X-a1,5600,0,0,5600,11809,81539,13850
16,340461476,X-a1:X-a0,5724,0,0,5724,11993,80278,14300
16,340461476,X-a1:X-a1,5815,0,0,5815,11737,83086,14700
17,340461476,X-a0:X-a0,7328,0,0,7328,12084,83975,13375
17,340461476,X-a0:X-a1,7146,0,0,7146,11987,82409,14375
17,340461476,X-a1:X-a0,7296,0,0,7296,12064,81758,12475
17,340461476,X-a1:X-a1,7337,0,0,7337,11953,84617,14575
18,340461476,X-a0:X-a0,9114,0,0,9114,11913,84919,12375
