Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
0,26,M,40,0,0
0,26,M,80,0,0
0,26,M,125,0,0
0,26,F,40,0,0
0,26,F,80,0,0
0,26,F,125,0,0
0,25,M,40,0,0
0,25,M,80,0,0
0,25,M,125,0,0
0,25,F,40,0,0
0,25,F,80,1,0
0,25,F,125,0,0
0,24,M,40,3,0
0,24,M,80,0,0
0,24,M,125,0,0
0,24,F,40,6,0
0,24,F,80,0,0
0,24,F,125,1,0
0,23,M,40,7,0
0,23,M,80,0,0
0,23,M,125,1,0
0,23,F,40,6,0
0,23,F,80,1,0
0,23,F,125,0,0
0,22,M,40,0,0
0,22,M,80,0,0
0,22,M,125,0,0
0,22,F,40,0,0
0,22,F,80,0,0
0,22,F,125,0,0
0,21,M,40,0,0
0,21,M,80,0,0
0,21,M,125,0,0
0,21,F,40,0,0
0,21,F,80,0,0
0,21,F,125,0,0
0,20,M,40,5,0
0,20,M,80,0,0
0,20,M,125,0,0
0,20,F,40,4,0
0,20,F,80,1,0
0,20,F,125,0,0
0,19,M,40,3,0
0,19,M,80,0,0
0,19,M,125,0,0
0,19,F,40,7,0
0,19,F,80,0,0
0,19,F,125,0,0
0,18,M,40,5,0
0,18,M,80,0,0
0,18,M,125,0,0
0,18,F,40,5,0
0,18,F,80,0,0
0,18,F,125,0,0
0,17,M,40,0,0
0,17,M,80,0,0
0,17,M,125,0,0
0,17,F,40,5,0
0,17,F,80,0,0
0,17,F,125,0,0
0,16,M,40,0,0
0,16,M,80,0,0
0,16,M,125,0,0
0,16,F,40,0,0
0,16,F,80,0,0
0,16,F,125,0,0
0,15,M,40,2,0
0,15,M,80,0,0
0,15,M,125,0,0
0,15,F,40,3,0
0,15,F,80,0,0
0,15,F,125,0,0
0,14,M,40,0,0
0,14,M,80,0,0
0,14,M,125,0,0
0,14,F,40,0,0
0,14,F,80,0,0
0,14,F,125,0,0
0,13,M,40,3,0
0,13,M,80,1,0
0,13,M,125,0,0
0,13,F,40,6,0
0,13,F,80,0,0
0,13,F,125,0,0
0,12,M,40,7,0
0,12,M,80,1,0
0,12,M,125,0,0
0,12,F,40,6,0
0,12,F,80,1,0
0,12,F,125,0,0
0,11,M,40,4,0
0,11,M,80,1,0
0,11,M,125,0,0
0,11,F,40,4,0
0,11,F,80,1,0
0,11,F,125,0,0
0,10,M,40,5,0
0,10,M,80,0,0
0,10,M,125,0,0
0,10,F,40,5,0
0,10,F,80,0,0
0,10,F,125,0,0
0,9,M,40,3,0
0,9,M,80,1,0
0,9,M,125,0,0
0,9,F,40,6,0
0,9,F,80,0,0
0,9,F,125,0,0
0,8,M,40,7,0
0,8,M,80,1,0
0,8,M,125,0,0
0,8,F,40,1,0
0,8,F,80,1,0
0,8,F,125,0,0
0,7,M,40,0,0
0,7,M,80,0,0
0,7,M,125,0,0
0,7,F,40,0,0
0,7,F,80,0,0
0,7,F,125,0,0
0,6,M,40,2,0
0,6,M,80,0,0
0,6,M,125,0,0
0,6,F,40,8,0
0,6,F,80,0,0
0,6,F,125,0,0
0,5,M,40,4,0
0,5,M,80,1,0
0,5,M,125,0,0
0,5,F,40,9,0
0,5,F,80,1,0
0,5,F,125,0,0
0,4,M,40,1,0
0,4,M,80,0,0
0,4,M,125,0,0
0,4,F,40,4,0
0,4,F,80,0,0
0,4,F,125,0,0
0,3,M,40,0,0
0,3,M,80,0,0
0,3,M,125,0,0
0,3,F,40,1,0
0,3,F,80,0,0
0,3,F,125,0,0
0,2,M,40,3,0
0,2,M,80,1,0
0,2,M,125,0,0
0,2,F,40,5,0
0,2,F,80,0,0
0,2,F,125,1,0
0,1,M,40,3,0
0,1,M,80,0,0
0,1,M,125,0,0
0,1,F,40,2,0
0,1,F,80,0,0
0,1,F,125,0,0
1,26,M,40,0,0
1,26,M,80,0,0
1,26,M,125,0,0
1,26,F,40,0,0
1,26,F,80,0,0
1,26,F,125,0,0
1,25,M,40,0,0
1,25,M,80,0,0
1,25,M,125,0,0
1,25,F,40,0,0
1,25,F,80,1,0
1,25,F,125,0,0
1,24,M,40,3,0
1,24,M,80,0,0
1,24,M,125,0,0
1,24,F,40,6,0
1,24,F,80,0,0
1,24,F,125,1,0
1,23,M,40,7,0
1,23,M,80,0,0
1,23,M,125,1,0
1,23,F,40,6,0
1,23,F,80,1,0
1,23,F,125,0,0
1,22,M,40,0,0
1,22,M,80,0,0
1,22,M,125,0,0
1,22,F,40,0,0
1,22,F,80,0,0
1,22,F,125,0,0
1,21,M,40,0,0
1,21,M,80,0,0
1,21,M,125,0,0
1,21,F,40,0,0
1,21,F,80,0,0
1,21,F,125,0,0
